"times","open","high","low","close","volume","symbol"
"2019-08-28",23.15,23.85,22.91,23.51,520000,"TEX"
"2019-08-29",23.91,24.72,23.83,24.62,535300,"TEX"
"2019-08-30",24.94,25.04,24.68,24.83,465600,"TEX"
"2019-09-03",24.56,24.56,23.65,23.76,848500,"TEX"
"2019-09-04",24.21,24.41,23.96,24.1,330000,"TEX"
"2019-09-05",24.47,25.43,24.47,25.17,826200,"TEX"
"2019-09-06",25.32,25.58,25.01,25.2,505400,"TEX"
"2019-09-09",25.31,26.24,25.31,26.22,656700,"TEX"
"2019-09-10",26.29,27.45,26.21,27.28,836900,"TEX"
"2019-09-11",27.43,28.09,26.81,27.99,975700,"TEX"
"2019-09-12",28.02,28.09,26.9,26.92,1140800,"TEX"
"2019-09-13",27.43,27.74,27.16,27.65,909500,"TEX"
"2019-09-16",27.47,28.02,27.28,27.9,643200,"TEX"
"2019-09-17",27.4,27.84,26.95,27.83,768200,"TEX"
"2019-09-18",27.64,27.92,27.3,27.65,935700,"TEX"
"2019-09-19",27.75,28.24,27.59,27.71,576700,"TEX"
"2019-09-20",27.65,28.18,27.34,27.39,786000,"TEX"
"2019-09-23",26.97,27.53,26.82,27.25,357600,"TEX"
"2019-09-24",27.28,27.4,26.05,26.25,995700,"TEX"
"2019-09-25",25.84,26.19,25.5,26.04,974200,"TEX"
"2019-09-26",26.01,26.08,25.68,25.69,629000,"TEX"
"2019-09-27",25.83,26.17,25.46,25.48,564700,"TEX"
"2019-09-30",25.56,26.15,25.44,25.97,1234600,"TEX"
"2019-10-01",26.24,26.55,24.52,24.66,684900,"TEX"
"2019-10-02",24.31,24.31,23.64,23.99,1130800,"TEX"
"2019-10-03",23.7,24.01,22.84,24,1257300,"TEX"
"2019-10-04",24.12,24.54,23.83,24.47,858000,"TEX"
"2019-10-07",24.46,24.47,23.96,23.99,742100,"TEX"
"2019-10-08",23.53,23.7,23.27,23.28,974600,"TEX"
"2019-10-09",23.64,23.64,23.2,23.37,753300,"TEX"
"2019-10-10",23.43,24.06,23.41,23.81,1860000,"TEX"
"2019-10-11",23.35,25.4,23.35,24.93,1763941,"TEX"
