"times","exponential_ma_open","exponential_ma_high","exponential_ma_low","exponential_ma_close","symbol","market"
"2019-10-14 12:45:00",45.8874,46.0068,45.7921,45.89,"AAON","NASDAQ"
"2019-10-14 12:30:00",45.8783,45.999,45.7844,45.8814,"AAON","NASDAQ"
"2019-10-14 12:15:00",45.8697,45.9907,45.7758,45.8721,"AAON","NASDAQ"
"2019-10-14 12:00:00",45.8619,45.9832,45.7674,45.8634,"AAON","NASDAQ"
"2019-10-14 11:45:00",45.8533,45.9751,45.759,45.8559,"AAON","NASDAQ"
"2019-10-14 11:30:00",45.8432,45.9661,45.7493,45.8468,"AAON","NASDAQ"
"2019-10-14 11:15:00",45.8334,45.956,45.7386,45.8371,"AAON","NASDAQ"
"2019-10-14 11:00:00",45.8226,45.9461,45.727,45.8262,"AAON","NASDAQ"
"2019-10-14 10:45:00",45.8136,45.937,45.717,45.8158,"AAON","NASDAQ"
"2019-10-14 10:30:00",45.8054,45.9294,45.7078,45.807,"AAON","NASDAQ"
"2019-10-14 10:15:00",45.7976,45.9223,45.6993,45.7991,"AAON","NASDAQ"
"2019-10-14 10:00:00",45.791,45.9133,45.6916,45.7914,"AAON","NASDAQ"
"2019-10-14 09:45:00",45.7829,45.9026,45.6826,45.7829,"AAON","NASDAQ"
"2019-10-11 16:00:00",45.7725,45.8866,45.6769,45.7731,"AAON","NASDAQ"
"2019-10-11 15:45:00",45.7563,45.8715,45.6634,45.7605,"AAON","NASDAQ"
"2019-10-11 15:30:00",45.7383,45.8542,45.6461,45.7441,"AAON","NASDAQ"
"2019-10-11 15:15:00",45.7206,45.8361,45.6276,45.7255,"AAON","NASDAQ"
"2019-10-11 15:00:00",45.7032,45.8188,45.6098,45.7076,"AAON","NASDAQ"
"2019-10-11 14:45:00",45.6821,45.7989,45.5913,45.6896,"AAON","NASDAQ"
"2019-10-11 14:30:00",45.6652,45.7803,45.5735,45.6705,"AAON","NASDAQ"
"2019-10-11 14:15:00",45.6501,45.763,45.5575,45.6535,"AAON","NASDAQ"
"2019-10-11 14:00:00",45.6354,45.7481,45.542,45.6383,"AAON","NASDAQ"
"2019-10-11 13:45:00",45.6207,45.7333,45.5264,45.6228,"AAON","NASDAQ"
"2019-10-11 13:30:00",45.6052,45.7188,45.5125,45.6098,"AAON","NASDAQ"
"2019-10-11 13:15:00",45.5906,45.7038,45.4976,45.5943,"AAON","NASDAQ"
"2019-10-11 13:00:00",45.5751,45.6891,45.4816,45.5793,"AAON","NASDAQ"
"2019-10-11 12:45:00",45.5577,45.672,45.465,45.5631,"AAON","NASDAQ"
"2019-10-11 12:30:00",45.5427,45.6548,45.4499,45.5464,"AAON","NASDAQ"
"2019-10-11 12:15:00",45.5282,45.6394,45.436,45.5304,"AAON","NASDAQ"
"2019-10-11 12:00:00",45.5139,45.6252,45.4216,45.5159,"AAON","NASDAQ"
"2019-10-11 11:45:00",45.4993,45.6117,45.4073,45.5026,"AAON","NASDAQ"
"2019-10-11 11:30:00",45.4825,45.5956,45.3912,45.4874,"AAON","NASDAQ"
"2019-10-11 11:15:00",45.4641,45.578,45.3741,45.4705,"AAON","NASDAQ"
"2019-10-11 11:00:00",45.4464,45.5605,45.3561,45.4524,"AAON","NASDAQ"
"2019-10-11 10:45:00",45.4299,45.5444,45.3387,45.4356,"AAON","NASDAQ"
"2019-10-11 10:30:00",45.4153,45.5279,45.3235,45.4185,"AAON","NASDAQ"
"2019-10-11 10:15:00",45.403,45.515,45.3103,45.4045,"AAON","NASDAQ"
"2019-10-11 10:00:00",45.3952,45.5024,45.3016,45.3935,"AAON","NASDAQ"
"2019-10-11 09:45:00",45.3829,45.4901,45.2906,45.3833,"AAON","NASDAQ"
"2019-10-10 16:00:00",45.3752,45.4785,45.2841,45.371,"AAON","NASDAQ"
"2019-10-10 15:45:00",45.3742,45.4774,45.2822,45.3695,"AAON","NASDAQ"
"2019-10-10 15:30:00",45.3719,45.4761,45.28,45.3682,"AAON","NASDAQ"
"2019-10-10 15:15:00",45.3695,45.4743,45.2769,45.3657,"AAON","NASDAQ"
"2019-10-10 15:00:00",45.3684,45.4737,45.275,45.364,"AAON","NASDAQ"
"2019-10-10 14:45:00",45.3681,45.474,45.2739,45.3637,"AAON","NASDAQ"
"2019-10-10 14:30:00",45.3667,45.4737,45.2726,45.3633,"AAON","NASDAQ"
"2019-10-10 14:15:00",45.3642,45.4719,45.271,45.3619,"AAON","NASDAQ"
"2019-10-10 14:00:00",45.3627,45.4703,45.2699,45.3596,"AAON","NASDAQ"
"2019-10-10 13:45:00",45.3621,45.4687,45.2684,45.3575,"AAON","NASDAQ"
"2019-10-10 13:30:00",45.3625,45.4684,45.2683,45.3569,"AAON","NASDAQ"
"2019-10-10 13:15:00",45.3612,45.4679,45.2674,45.3569,"AAON","NASDAQ"
"2019-10-10 13:00:00",45.3587,45.4663,45.2646,45.3547,"AAON","NASDAQ"
"2019-10-10 12:45:00",45.3557,45.4645,45.2615,45.3519,"AAON","NASDAQ"
"2019-10-10 12:30:00",45.3519,45.4617,45.2584,45.3496,"AAON","NASDAQ"
"2019-10-10 12:15:00",45.3484,45.4586,45.2541,45.3457,"AAON","NASDAQ"
"2019-10-10 12:00:00",45.3459,45.4557,45.2506,45.342,"AAON","NASDAQ"
"2019-10-10 11:45:00",45.3425,45.4534,45.2477,45.3393,"AAON","NASDAQ"
